exercise_name,phase,duration_or_reps,instructions,source,primary_muscles,equipment,primary_action,movement_type,domain
RUNNING STRAIGHT AHEAD,Raise / Activate (Part 1),1 M,"Important when performing the exercise: Jog straight to the last cone. Run slightly more quickly on the way back. Do the exercise twice. 1 Make sure you keep your upper body straight. 2 Your hips, knees and feet should be aligned. Do not let your knees buckle inwards.",FIFA 11+ Manual,Full Lower Body,Cones,general_movement,Aerobic,Football / Pitch
RUNNING HIP OUT,Raise / Activate (Part 1),1 M,"Important when performing the exercise: Jog to the first cone. Stop and lift your knee forwards. Rotate your knee to the side and put your foot down. Jog to the cone and do the exercise on the other leg. When you have finished the course, jog back. 1 Make sure that you keep your pel- vis horizontal and your core still. 2 The hip, knee and foot of the supporting leg should be aligned. Do the exercise twice. Do not let the knee of the sup- porting leg buckle inwards.",FIFA 11+ Manual,"Glutes, Hip Flexors",Cones,general_movement,Dynamic Stretch,Football / Pitch
RUNNING HIP IN,Raise / Activate (Part 1),1 M,"Important when performing the exercise: Jog to the first cone. Stop and lift your knee to the side. Rotate your knee forwards and put your foot down. Jog to the next cone and do the exercise on the other leg. When you have finished the course, jog back. 1 Make sure that you keep your pel- vis horizontal and your core still. 2 The hip, knee and foot of the supporting leg should be aligned. Do the exercise twice. Do not let the knee of the sup- porting leg buckle inwards.",FIFA 11+ Manual,"Glutes, Hip Flexors",Cones,general_movement,Dynamic Stretch,Football / Pitch
RUNNING CIRCLING PARTNER,Raise / Activate (Part 1),Not Specified,"Important when performing the exercise: Jog forwards to the first cone. Shuf- fle sideways at a 90-degree angle towards your partner, shuffle an entire circle around one other (without changing the direction you are look- ing in) and back to the first cone. Jog to the next cone and repeat the exercise. When you have finished the course, jog back. 1 Bend your hips and knees slightly and carry your body weight on the balls of your feet. Do not let your knees buckle inwards. Do the exercise twice.",FIFA 11+ Manual,Full Lower Body,Cones,general_movement,Aerobic,Football / Pitch
RUNNING JUMPING WITH SHOULDER CONTACT,Raise / Activate (Part 1),Not Specified,"Important when performing the exercise: Jog to the first cone. Shuffle sideways at a 90-degree angle towards your partner. In the middle, jump sideways towards each other to make shoul- der-to-shoulder contact. Shuffle back to the first cone. Then jog to the next cone and repeat the exercise. When you have finished the course, jog back. 1 Land on both feet with your hips and knees bent. Do not let your knees buckle inwards. Do the exercise twice.",FIFA 11+ Manual,Full Lower Body,Cones,general_movement,Plyometric,Football / Pitch
RUNNING QUICK FORWARDS AND BACKWARDS SPRINTS,Raise / Activate (Part 1),1 M,"Important when performing the exercise: Run quickly to the second cone then run backwards quickly to the first cone, keeping your hips and knees slightly bent. Repeat, running two cones forwards and one cone back- wards. When you have finished the course, jog back. 1 Make sure you keep your upper body straight. 2 Your hips, knees and feet should be aligned. Do the exercise twice. Do not let your knees buckle inwards.",FIFA 11+ Manual,Full Lower Body,Cones,general_movement,Aerobic,Football / Pitch
RUNNING QUICK FORWARDS AND BACKWARDS SPRINTS,Activate / Mobilize (Part 2),Not Specified,"PART 2: STRENGTH, PLYOMETRICS AND BALANCE EXERCISES",FIFA 11+ Manual,Full Lower Body,None,general_movement,Plyometric,Football / Pitch
Jumping,Raise / Activate (Part 1),2 sets,"Important when performing the exercise: This exercise strengthens your core muscles, which is important to ensure stability of the body in all movements. 1 Your body should be in a straight line from head to feet. Assume the starting position by lying on your front, supporting your- self on your forearms and feet. 2 Your elbows should be directly under your shoulders. Do not tilt your head backwards. During this exercise, lift your upper body, pelvis and legs up until your body is in a straight line from head to foot. Draw your shoulder blades in towards your spine so that they lie flat against your back. Your elbows are directly under your shoulders. Pull in your stomach and gluteal muscles and hold the position for 20 – 30 sec- onds. Return to the starting position, take a short break and repeat the exercise. Do not sway or arch your back. Do not raise your buttocks. Repetitions: 3 sets (20 – 30 sec. each) 7.2 THE BENCH ALTERNATE LEGS Important when performing the exercise: This exercise strengthens your core muscles, which is important to ensure stability of the body in all movements. 1 Your head, shoulders, back and pelvis should be in a straight line. Assume the starting position by lying on your front, supporting your- self on your forearms and feet. 2 Your elbows should be directly under your shoulders. Do not tilt your head backwards. During this exercise, lift your upper body, pelvis and legs up until your body is in a straight line from head to foot. Draw your shoulder blades in towards your spine so that they lie flat against your back. Your elbows are directly under your shoulders. Pull in your stomach and gluteal muscles. Lift each leg in turn, holding for a count of 2 seconds. Continue for 40 – 60 seconds. Return to the start- ing position, take a short break and repeat the exercise. Do not sway or arch your back. Do not raise your buttocks. Keep your pelvis stable and do not let it tilt to the side. Repetitions: 3 sets (40 – 60 sec. each) 7.2 THE BENCH ALTERNATE LEGS 7.3 THE BENCH ONE LEG LIFT AND HOLD Important when performing the exercise: This exercise strengthens your core muscles, which is important to ensure stability of the body in all movements. 1 Your head, shoulders, back and pelvis should be in a straight line. Assume the starting position by lying on your front, supporting your- self on your forearms and feet. 2 Your elbows should be directly under your shoulders. Do not tilt your head backwards. During this exercise, lift your upper body, pelvis and legs up until your body is in a straight line. Draw your shoulder blades in towards your spine so that they lie flat against your back. Your elbows are directly under your shoulders. Pull in your stomach and gluteal muscles. Lift one leg about 10 – 15 centimetres off the ground and hold the position for 20 – 30 seconds. Return to the starting position, take a short break and repeat the exercise with the other leg. Do not sway or arch your back. Do not raise your buttocks. Keep your pelvis stable and do not let it tilt to the side. Repetitions: 3 sets (20 – 30 sec. on each side) 7.3 THE BENCH ONE LEG LIFT AND HOLD 8.1 SIDEWAYS BENCH STATIC Important when performing the exercise: This exercise strengthens your lateral core muscles, which is important to ensure stability of the body in all movements. 1 When viewed from the front, your upper shoulder, hip and upper leg should be in a straight line. Assume the starting position, lying on your side with the knee of your lowermost leg bent to 90 degrees and supporting yourself on your forearm and lowermost leg. 2 When viewed from above, the shoulders, pelvis and both knees should be in a straight line. 3 Your elbow should be directly under your shoulder. During this exercise, lift your pelvis and uppermost leg until they form a straight line with your shoulder and hold the position for 20 – 30 seconds. The elbow of your supporting arm is directly under your shoulder. Return to the starting position, take a short break and repeat the exercise on the other side. Do not rest your head on your shoulder. Keep your pelvis stable and do not let it tilt downwards. Do not tilt your shoulders, pelvis or legs forwards or backwards. Repetitions: 3 sets (20 – 30 sec. on each side) 8.1 SIDEWAYS BENCH STATIC 8.2 SIDEWAYS BENCH RAISE AND LOWER HIP Important when performing the exercise: This exercise strengthens your lateral core muscles, which is important to ensure stability of the body in all movements. 1 When viewed from front, your upper shoulder, hip and upper leg should be in a straight line. Assume the starting position, lying on your side with both legs straight and supporting yourself on your forearm. 2 When viewed from above, your body should be in a straight line. 3 Your elbow should be directly under your shoulder. During this exercise, raise your pelvis and legs (only the outside of the lowermost foot remains on the floor) until your body forms a straight line from the uppermost shoulder to the uppermost foot. Now lower your hips to the ground and raise them back up again. Repeat for 20 – 30 sec- onds. The elbow of your supporting arm is directly under your shoulder. Take a short break, change sides and repeat. Do not rest your head on your shoulder. Do not tilt your shoulders or pelvis forwards or backwards. Repetitions: 3 sets (20 – 30 sec. on each side) 8.2 SIDEWAYS BENCH RAISE AND LOWER HIP 8.3 SIDEWAYS BENCH WITH LEG LIFT Important when performing the exercise: This exercise strengthens your lateral core muscles, which is important to ensure stability of the body in all movements. 1 When viewed from the front, your upper shoulder, hip and upper leg should be in a straight line. Assume the starting position, lying on your side with both legs straight and supporting yourself on your forearm and lower leg. 2 When viewed from above, your body should be in a straight line. 3 Your elbow should be directly under your shoulder. During this exercise, raise your pelvis and legs (only the outside of the lowermost foot remains on the floor) until your body forms a straight line from the uppermost shoulder to the uppermost foot. Now lift your uppermost leg up and slowly lower it down again. Repeat for 20 – 30 sec- onds. The elbow of your supporting arm is directly under your shoulder. Take a short break, change sides and repeat. Do not rest your head on your shoulder. Keep your pelvis stable and do not let it tilt downwards. Do not tilt your shoulders or pelvis forwards or backwards. Repetitions: 3 sets (20 – 30 sec. on each side) 8.3 SIDEWAYS BENCH WITH LEG LIFT 9 HAMSTRINGS BEGINNER – INTERMEDIATE – ADVANCED Important when performing the exercise: This exercise strengthens your rear thigh muscles. Assume the starting position, kneeling on a soft surface with knees hip-width apart and crossing your arms across your chest. Your partner kneels behind you and with both hands grips your lower legs just above the ankles while pushing them with his body weight to the ground. 1 Your partner keeps your lower legs firmly on the ground. 2 Your head, upper body, hips and thighs should be in a straight line. 3 The movement is only in the knee joints. 4 Perform this exercise slowly at first, but once you feel more com- fortable, speed it up. During this exercise, your body should be completely straight from the head to the knees. Slowly lean forwards, trying to hold the position with your hamstrings. When you can no longer hold the position, gently take your weight on your hands, fall- ing into a press-up position. Do not tilt your head backwards. Do not bend at your hips. 9.1 BEGINNER Repetitions: 1 set (3 – 5 repetitions) 9.2 INTERMEDIATE Repetitions: 1 set (7 – 10 repetitions) 9.3 ADVANCED Repetitions: 1 set (minimum 12 – 15 repetitions) 9 HAMSTRINGS BEGINNER – INTERMEDIATE – ADVANCED 10.1 SINGLE-LEG STANCE HOLD THE BALL Important when performing the exercise: This exercise improves leg muscle coordination and balance. 1 When viewed from the front, the hip, knee and foot of your sup- porting leg should be in a straight line. Assume the starting position, standing on one leg and holding the ball in front of you in both hands. Bend your knee and hip slightly so that your upper body leans forwards slightly. When viewed from the front, the hip, knee and foot of your sup- porting leg are in a straight line. Hold the raised leg slightly behind the supporting leg. 2 Always keep the hip and knee of your supporting leg slightly bent. 3 Keep your weight on the ball of your foot. 4 Keep your upper body stable and facing forwards. During this exercise, hold your balance and keep your body weight on the ball of your foot. Hold for 30 seconds, change legs and repeat. The exercise can be made more difficult by lifting the heel from the ground slightly or passing the ball around your waist and / or under your other knee. 5 Keep your pelvis horizontal. Do not let your knee buckle inwards. Do not let your pelvis tilt to the side. Repetitions: 2 sets (30 sec. on each leg) 10.1 SINGLE-LEG STANCE HOLD THE BALL 10.2 SINGLE-LEG BALANCE THROWING BALL WITH PARTNER Important when performing the exercise: This exercise improves leg muscle coordination and balance. 1 When viewed from the front, the hip, knee and foot of your sup- porting leg should be in a straight line. Assume the starting position, standing 2 – 3 metres apart from your partner, with each of you standing on one leg. Bend your knee and hip slightly so that your upper body leans forwards slightly. When viewed from the front, the hip, knee and foot of your supporting leg are in a straight line. Hold the raised leg slightly be- hind the supporting leg. 2 Always keep the hip and knee of your supporting leg slightly bent. 3 Keep your weight on the ball of your foot. 4 Keep your upper body stable and facing forwards. During this exercise, keep your balance while you throw the ball to one another. Hold in your stomach and keep your weight on the ball of your foot. Continue for 30 seconds, change legs and repeat. This exercise can be made more difficult by lifting the heel from the ground slightly. 5 Keep your pelvis horizontal. Do not let your knee buckle inwards. Do not let your pelvis tilt to the side. Repetitions: 2 sets (30 sec. on each leg) 10.2 SINGLE-LEG BALANCE THROWING BALL WITH PARTNER 10.3 SINGLE-LEG BALANCE TEST YOUR PARTNER Important when performing the exercise: This exercise improves leg muscle coordination and balance. 1 When viewed from the front, the hip, knee and foot of your supporting leg should be in a straight line. Assume the starting position, standing at arm’s length from your partner, with each of you standing on one leg. Bend your knee and hip slightly so that your upper body leans forwards slightly. When viewed from the front, the hip, knee and foot of your supporting leg are in a straight line. Hold the raised leg slightly behind the supporting leg. 2 Always keep the hip and knee of your supporting leg slightly bent. 3 Keep your weight on the ball of your foot. 4 Keep your upper body stable and facing forwards. During this exercise, keep your balance while you and your partner in turn try to push the other off balance in different directions. Keep returning to the starting position. Continue for 30 seconds, change legs and repeat. 5 Keep your pelvis horizontal. Do not let your knee buckle inwards. Do not let your pelvis tilt to the side. Repetitions: 2 sets (30 sec. on each leg) 10.3 SINGLE-LEG BALANCE TEST YOUR PARTNER 11.1 SQUATS WITH TOE RAISE Important when performing the exercise: This exercise strengthens your ham- strings and calf muscles and improves your movement control. 1 When viewed from the front, the hip, knee and foot of both legs should be in two straight parallel lines. Assume the starting position, standing with your feet hip-width apart and your hands on your hips. 2 Bend your hips, knees and ankles at the same time and lean your upper body forwards. During this exercise, slowly bend your hips, knees and ankles until your knees are flexed to 90 degrees. Lean your upper body forwards. Then straighten your upper body, hips and knees. When your knees are completely straight, stand up on your toes and then slowly lower yourself down again, before straight- ening up slightly more quickly. Repeat the exercise for 30 seconds. 3 When leaning your upper body forwards, keep your back straight. 4 Stand up on your toes when you straighten up. Do not let your knees buckle inwards. Do not tilt your head backwards. Repetitions: 2 sets (30 sec. each) 11.1 SQUATS WITH TOE RAISE 11.2 SQUATS WALKING LUNGES Important when performing the exercise: This exercise strengthens your ham- strings and gluteal muscles and improves your movement control. 1 Bend your leading knee to 90 degrees. Assume the starting position, standing with both feet hip-width apart on the ground and your hands on your hips. 2 Keep your upper body upright. 3 Keep your pelvis horizontal. Your bent knee should not extend beyond your toes. During this exercise, lunge forwards slowly at an even pace. As you lunge, bend your hips and knees slowly until your leading knee is flexed to 90 degrees. The bent knee should not extend beyond the toes. Keep your upper body straight and your pelvis horizontal. Do 10 lunges on each leg. Do not let your leading knee buckle inwards. Do not bend your upper body forwards. Do not twist or tilt your pelvis to the side. Repetitions: 2 sets (10 lunges on each side) 11.2 SQUATS WALKING LUNGES 11.3 SQUATS ONE-LEG SQUATS Important when performing the exercise: This exercise strengthens your front thigh muscles and improves your movement control. 1 When viewed from the front, the hip, knee and foot of your supporting leg should be in a straight line. Assume the starting position, standing on one leg next to a partner so that you can both loosely hold on to each other. Hold the raised leg slightly behind the supporting leg. 2 Lean your upper body slightly forwards and keep it stable and facing forwards. During this exercise, bend your knee at the same time as your partner. Slowly bend your knee, if possible until it is flexed to 90 degrees, and straighten up again. Bend your knee slowly then straighten it slightly more quickly. Repeat the exercise on the other side, doing 10 squats on each leg. 3 Keep your pelvis horizontal. 4 Bend your knee slowly then straighten it slightly more quickly. Do not let your knee buckle inwards. Your bent knee should not extend beyond your toes. Do not twist or tilt your pelvis to the side. Repetitions: 2 sets (10 on each side) 11.3 SQUATS ONE-LEG SQUATS 12.1 JUMPING VERTICAL JUMPS Important when performing the exercise: This exercise improves your jumping power and movement control. 1 When viewed from the front, the hip, knee and foot of both legs should be in two straight parallel lines. Assume the starting position, standing with your feet hip-width apart and your hands on your hips. During this exercise, slowly bend your hips, knees and ankles until your knees are flexed to 90 degrees. Lean your upper body forwards. Hold this position for 1 second, then jump as high as you can. While you jump, straighten your whole body. Land softly on the balls of your feet and slowly bend your hips, knees and ankles as far as possible. Repeat for 30 seconds. 2 Bend the hips, knees and ankles at the same time and lean your upper body forwards. 3 Jump off both feet and land gently on the balls of your feet. 4 A cushioned landing and a power- ful take-off are more important than how high you jump. Do not let your knees buckle inwards. Repetitions: 2 sets (30 sec.) Do not land with extended knees or on your heels. 12.1 JUMPING VERTICAL JUMPS 12.2 JUMPING LATERAL JUMPS Important when performing the exercise: This exercise improves your jumping power and movement control on one leg. 1 When viewed from the front, your hip, knee and foot should be in a straight line. Assume the starting position, standing on one leg. Bend your hips, knee and ankle slightly and lean your upper body forwards. 2 Land gently on the balls of your foot, bend the hip, knee and ankle at the same time and lean your upper body forwards. During this exercise, jump approxi- mately one metre to the side from your supporting leg onto your other leg. Land gently on the ball of your foot and bend your hips, knee and ankle. Hold this position for about a second and then jump onto the other leg. Keep your upper body stable and facing forwards and your pelvis horizontal. Repeat for 30 seconds. 3 Keep your upper body stable and facing forwards. 4 Keep your pelvis horizontal. Do not let your knee buckle inwards. Do not turn your upper body. Do not twist or tilt your pelvis to the side. Repetitions: 2 sets (30 sec. each) 12.2 JUMPING LATERAL JUMPS 12.3 JUMPING BOX JUMPS Important when performing the exercise: This exercise improves body stability through quick movements in different directions. 1 When viewed from the front, the hip, knee and foot of both legs should be in two straight parallel lines. Assume the starting position, standing with feet hip-width apart and imagine that there is a cross marked on the ground and you are standing in the middle of it. 2 Jump off both feet and land on the balls of your feet with feet hip-width apart. During this exercise, bend your hips, knees and ankles and from this position alternate between jumping forwards and backwards, from side to side, and diagonally across the cross. Jump as quickly and explosively as possible. Land gently on the balls of your feet and bend your hips, knees and ankles. Lean your upper body forwards slightly throughout the exercise. Repeat the exercise for 30 seconds. 3 Bend your hips, knees and ankles on landing. 4 A cushioned landing and a power- ful take-off are more important than how high you jump. Never let your knees meet and do not let them buckle inwards. Do not land with extended knees or on your heels. Repetitions: 2 sets (30 sec. each) 12.3 JUMPING BOX JUMPS PART 3: RUNNING EXERCISES",FIFA 11+ Manual,"Core, Glutes, Hamstrings",None,general_movement,Isometric,Football / Pitch
RUNNING ACROSS THE PITCH,Raise / Activate (Part 1),1 M,"Important when performing the exercise: Run approx. 40 metres across the pitch at 75 – 80% of maximum pace and then jog the rest of the way. Jog back at an easy pace. 1 Make sure you keep your upper body straight. Do the exercise twice. 2 Your hips, knees and feet should be aligned. Do not let your knees buckle inwards.",FIFA 11+ Manual,Full Lower Body,None,general_movement,Aerobic,Football / Pitch
RUNNING BOUNDING,Raise / Activate (Part 1),Not Specified,"Important when performing the exercise: Take a few warm-up steps then take 6 – 8 bounding steps with a high knee lift and jog the rest of the way. With each bound, try to lift the knee of the leading leg as high as possible and swing the opposite arm across the body. Jog back at an easy pace to recover. 1 Keep your upper body straight. 2 Land on the ball of the leading foot with the knee bent and spring. Do not let your knee buckle inwards. Do the exercise twice.",FIFA 11+ Manual,Full Lower Body,None,general_movement,Plyometric,Football / Pitch
RUNNING PLANT AND CUT,Raise / Activate (Part 1),1 M,"Important when performing the exercise: Jog four to five steps straight ahead. Then plant on the right leg and cut to change direction to the left and accelerate again. Sprint for 5 – 7 steps (at 80 – 90% of maximum pace) be- fore you decelerate and plant on the left foot and cut to change direction to the right. Repeat the exercise until you reach the other side of the pitch, then jog back. 1 Make sure you keep your upper body straight. 2 Your hips, knees and feet should be aligned. Do not let your knees buckle inwards. Do the exercise twice.",FIFA 11+ Manual,Full Lower Body,None,general_movement,Aerobic,Football / Pitch
RUNNING PLANT AND CUT,Raise / Activate (Part 1),20 m,"APPENDIX: FREQUENTLY ASKED QUESTIONS ABOUT THE “11+” What is the “11+”? The “11+” is a complete warm-up programme that aims to reduce the most common injuries of both male and female football players. It is the advanced version of “The 11” injury prevention programme. Are the exercises new? Most of the exercises are not new but yet have not become routine. The innovation is in putting these exercises together into a simple and practicable programme that should be the standard warm-up prior to every training session. Why were these exercises in particular chosen? The exercises are “evidence-based” or “best practice”. They are designed to prevent the most frequent types of injury in football, i.e. groin and thigh strains as well as ankle sprains and knee ligament injuries. What do the exercises achieve? The exercises lead to a strengthening of the core and leg muscles, and in addition, static, dynamic and reactive neuromuscular control, coordination, balance, agility and jump technique are improved. What are the advantages of the “11+”? The prevention effect of the pro- gramme has scientifically been proven in a RCT. It is simple and does not require appliances, equipment (i.e. no extra costs) or specialist knowledge. It is a complete warm-up programme with different levels. It is efficient, as most of the exercises train several as- pects and can replace other exercises. Why does the “11+” not include stretching exercises? Research has shown that static stretch- ing exercises have a negative influence on muscle performance, and results on the preventive effect of dynamic stretching are inconclusive. Stretching exercises are not recommended as How long does it take to do the “11+”? If the players are familiar with the exercises, 20 minutes in total. part of a warm-up programme, but can be performed at the end of the training session. Who should do the “11+”? The “11+” is specially designed for amateur and recreational players. The programme is for men and women of all levels of play and all ages (from around 14 years and up). How long does it take before the “11+” has an effect? Depending on how often a player trains, about 10 – 12 weeks. When can players stop practising the “11+”? As long as players play football, they should perform the “11+” as the ef- fects can diminish once training stops. When should players do the “11+”? The “11+” should be performed as a warm-up prior to every training session, and in a shortened version (parts 1 and 3) also before each match. What about other preventive measures? Other preventive measures are, of course, allowed and desired, espe- cially fair play and wearing shin pads. How often should players do the “11+”? Before every training session (at least twice a week), and the running exercises (parts 1 and 3) before every match. How old do players need to be to do the “11+”? At least 14 years old. If players are younger, some exercises should not be performed, and for others, the inten- sity should be modified. What should players pay special attention to when carrying out the exercises? To be effective, it is important that each exercise is carried out with precision, exactly as described in this manual. Ideally, the coach should supervise the exercises and correct the players if necessary. Do players need to warm-up before performing the “11+”? No, the “11+” is a complete warm-up programme that replaces other warm- up exercises. What footwear should be worn when doing the “11+”? Ideally, the “11+” should be performed on a grass pitch in football boots. The “11+” is a complete warm-up programme to reduce injuries among male and female football players aged 14 years and older. Can the “11+” be performed in any order? No, the sequence was chosen to provide a deliberate warm-up and progression. The programme was developed by an international group of experts, and its effectiveness has been proven in a scientific study. Teams that performed the “11+” at least twice a week had 30 – 50% fewer injured players. When should players progress to the next level of the “11+”? Players should begin with level 1. Only when an exercise can be performed without difficulty for the specified duration and number of repetitions should the player progress to the next level of this exercise. The programme should be performed, as a standard warm-up, at the start of each training session at least twice a week, and it takes around 20 minutes to complete. Prior to matches, only the running exercises (parts 1 and 3) should be performed. For all exercises, correct performance is of great importance. Therefore, the coach should supervise the pro- gramme and correct the players if necessary. Official publication of the Fédération Internationale de Football Association (FIFA) Content Mario Bizzini, Astrid Junge, Jiri Dvorak Photos Andreas Lütscher, Schulthess Clinic, Zürich Graphic design and layout Von Grebel Motion Print Vogt-Schild / Druck",FIFA 11+ Manual,Full Lower Body,None,general_movement,Aerobic,Football / Pitch
