,source_url,exercise_name,classification,bearing,impact,instructions,preparation,execution,comments,force_(articulation),dynamic,utility,mechanics,force,easier,harder,static,muscles
0,https://exrx.net/Aerobic/Exercises/JumpingJack,Jumping Jack,,Weight,High,,"Stand with feet together, knees slightly bent, and arms to sides.",Jump while raising arms and separating legs to sides. Land on forefoot with legs apart and arms overhead. Jump again while lower arms and returning legs to midline. Land on forefoot with arms and legs in original position and repeat.,Intensity can be increased by jumping faster.,,"Ankle:
                                                                                                                                                                                                                                                             Plantar Flexion Knee
                                                                                                                                                                                                                                                                Extension
Hip:
                                                                                                                                                                                                                                                                Extension
                                                                                                                                                                                                                                                                Flexion
                                                                                                                                                                                                                                                                Abduction
                                                                                                                                                                                                                                                                Adduction
Shoulder:
                                                                                                                                                                                                                                                                Abduction
                                                                                                                                                                                                                                                                Adduction",,,,,,,
1,https://exrx.net/Stretches/Miscellaneous/ArmCircle,Arm Circle,,,,,Stand with feet shoulder width or slightly wider. Extend arms straight out to each side horizontally.,Rotate arms together in small circular motions. Gradually increase size of rotations until arms eventially rotating in wide circular motions. Repeat in opposite circular direction.,Circles can rotate either direction (1) down and back to up and forward or (2) up and back to down and forward; most commonly performing first set in one direction followed by second set in opposite direction. Movement can serve to warm up shoulders before athletic performance or sports training sessions. The wide movements also can dynamically stretch shoulder and shoulder girdle musculature.,,"Shoulder:
Adduction
Abduction
Transverse Flexion
Transverse Extension
Flexion
Extension
Scapula & Clavicle:
Protraction
Retraction
Upward Rotation
Downward Rotation
Elevation
Depression",Dynamic Stretch,Isolated,Pull & Push,,,,
2,https://exrx.net/Aerobic/Exercises/HighKneeRun,High Knee Run,,Weight,High,,Stand with left front slightly in front of other foot. Lean forward and place left arm back and right arm forward.,"Lift right knee high and step forward while swinging left arm up and right arm back. Propel body upward and forward by extending left leg. Lower right leg while beginning to raise left knee while pulling left arm back and right arm forward. Land on extended right leg. Continue movement on opposite side, alternating quickly between sides.",This movement can serve as Warm-up an Dynamic Stretch befor sports participation or sports conditioning workout. Land and push off on forefeet.,,"Hip:
Extension
Flexion
Knee:
Extension
Flexion
Ankle:
Plantar Flexion
Spine:
Rotation
Shoulder:
Flexion
Extension / Hyperextension
Scapula:
Upward Rotation
Downward Rotation",,,,Pump more slowly without lifting legs as high when beginning.,"Pump more quickly and lift knees high, bringing lifted ankle up and over base knee.","Hip:
Abduction
Spine:
Lateral Flexion",
3,https://exrx.net/Stretches/Miscellaneous/WalkingLunge,Walking Lunge,,,,,Stand facing intended path with arms to sides.,"Step forward with right leg and bend left arm. Land on heel, then forefoot. Lower body by flexing knee and hip of front leg until knee of rear leg makes contact or is almost in contact with floor. Stand on forward leg with initial assistance of rear leg and lower and straighten left arm down to side. Lunge forward with left leg with same movement pattern. Repeat lunge on alternating sides for desired number of repetitions, time, or distance.","This movement canÂ serve as Warm-up andÂ Dynamic Stretch beforeÂ sports participation or sports conditioning workout. Keep torso upright during lunge, which requires adequate flexibility of hip flexors. Lead knee should point same direction as foot throughout lunge. A long lunge emphasizes Gluteus Maximus; short lunge emphasizes Quadriceps. Tibialis Anterior is exercised eccentrically during landing on heel.Â Muscles stretched includeÂ Hip FlexorsÂ and Gluteus Maximus.",,"Hip:
Extension
Flexion
Knee:
Extension
Flexion
Ankle:
Plantar Flexion",Dynamic Stretch,Compound,Push,,,"Spine: (Thoracic, Lumbar)
Extension
Lateral Flexion
Hip:
Abduction
Ankle (eccentric):
Dorsal Flexion",
4,https://exrx.net/Stretches/Hamstrings/SoldierKick,Soldier Kick,,,,,Stand and step forward with left foot.,"Next step, extend left arm forward while swinging right leg up so foot touches or comes close to hand. Lower right leg. Repeat with same sequence on opposite side. Continue by alternating between each side until specific distance is covered or desired number of repetitions have been completed.","This  Dynamic Stretch  can performed before athletic event or sports training session. Although this dynamic stretch targets the Hamstrings in the raised leg, Iliopsoas is typically stretched in supporting leg due to posterior rotation of hips as leg is raised.",,,Dynamic Stretch,Isolated,Pull,,,,"Target: Hamstrings
Other:
Iliopsoas"
5,https://exrx.net/Aerobic/Exercises/ButtKick,Butt Kick,,Weight,High,,Lean forward slightly with staggered stance. Bend arms to sides.,"Jog while pulling heels up high towards glutes. Swing bent arms to sides forward and backward in opposition to leg motion. Keep body upright with head up, arms to sides, and hands relaxed. Continue until specific distance is covered or desired number of kicks have been completed.","This drill can be used as either Dynamic StretchÂ and Warm-up or running drill. Butt Kick as a dynamic stretch involves positioning thighs more perpendicular. As running drill, pull heels up with knees pointing forward. Performed as running drill, it can increase hamstring awareness and stride efficiency. It can also be used as speed drill when performed quickly.",,"Hip:
Extension
Flexion
Knee:
Extension
Flexion
Ankle:
Plantar Flexion
Spine:
Rotation
Shoulder:
Flexion
Extension / Hyperextension
Scapula:
Upward Rotation
Downward Rotation",,,,,,"Hip:
Abduction
Spine:
Lateral Flexion","Target: Quadriceps
Other: Rectus Femoris"
6,https://exrx.net/Aerobic/Exercises/Shuffle,Lateral Shuffle,,Weight,High,,"Stand with right side facing intended path in athletic position: wide stance with knees, hips, and arms bent, chest up.",Step sideways in direction of intended path with right leg. Sidestep with left leg and push off second side step with right leg before landing left leg. Continue for shuffling pattern to desired point.,Start slow and build up pace. Intensity is normally increased by shuffling faster or taking wider strides so that plant of trailing foot occurs beyond point at which leading foot had just left. Also known as Side Shuffle.,,"Hip:
Abduction
Adduction
Extension
External Rotation
Knee:
Extension
Ankle:
Plantar Flexion",,,,,,"Spine:
Lateral          Flexion
Extension
",
7,https://exrx.net/Aerobic/Exercises/Grapevine,Grapevine,,Weight,High,,"Stand with right side facing intended path, feet slightly apart and knees slightly bent.","Hop off of left foot and step right foot slightly forward and to right of where left foot was placed. As right forefoot makes contact with ground, step left leg behind right foot. Hop up off of ground with left foot and pull right leg back underbody while pulling left knee up high. Hop up off of right foot and step left foot across front of where right foot was placed. Continue movement pattern to desired point or duration by crossing trailing leg over, stepping back into place, crossing trailing leg behind, and stepping back into place. If desired, repeat in the opposite direction so that left leg leads.","The Grapevine is a lateral movement drill typically used as warm-up drill. The movement involves moving sideways with feet crossing in front and behind each other. Keep knees bent, shoulders relaxed, and head up. Start slow and build up pace. Intensity may be increased by performing drill more quickly. Also known as Carioca.",,"Hip:
Extension
External Rotation
Internal Rotation
Abduction
Adduction
Knee:
Extension
Ankle:
Plantar Flexion
Spine:
Rotation
Shoulder:
Flexion Extension /Hyperextension
Abduction
Adduction
Transverse Extension
Transverse Flexion
Scapula:
Upward Rotation
Downward Rotation
Protraction
Retraction",,,,,,"Spine:
Lateral Flexion
Extension",
8,https://exrx.net/Aerobic/Exercises/Run,Run,,Weight,High,,"Lean forward with staggered stance, left leg bent forward and right leg and hips slightly bent behind body. Position right arm slightly forward and left arm back to sides of body.","Swing right knee forward while left leg extends back and remains in contact with ground. In unison to leg movement, swing left bent arm forward and right bent arm back. Extend right leg forward as left heal rises off ground. Extend left foot as left hip and knee terminate extension propelling body forward as both feet are no longer in contact with ground. Begin to swing left arm back and right arm forward. Continue to extend right knee in preparation for initial landing while raising left heel toward buttock. As right foot makes contact with ground continue to pull left heel toward buttock. Allow right knee to bend as it quickly travels underneath body. As left knee begins to be pulled forward, left arm continues to travel back behind body while right arm continues to swing forward. Repeat running pattern with movements on opposite sides, alternating between sides. Continue running until specific distance is covered or prescribed time has elapsed.","Running involves running faster than 6 mph (~10 kmph) whereas jogging involves traveling at a pace of less than 6 mph (~10 kmph). Also see Sprinting, a more powerful and faster form of running performed in short bouts.
Body leans forward during Initial take-off strides. Afterwhich, keep body and head more upright throughout run. Lean forward slightly (~10%) from ankle (not hips) with torso upright. Alternative initiation form involves leaning forward at left ankle while stepping forward with right leg. To lean from ankles, lean whole body forward until body begins to fall forward. Immediately step forward and begin running.
Arm swing to opposes high rotational forces produced from the legs to maintain straighter forward path during running. Swing arms opposite to legs with arms bent to sides approximately 90Â° and shoulders and hands relaxed. After foot makes contact with ground, allow knee to bend slightly so leg absorbs impact and so it can later extend forcefully behind body.",,"Hip:
Extension
Flexion
Knee:
Extension
Ankle:
Plantar Flexion
Foot:
Plantar Flexion
Spine:
Rotation
Shoulder:
Flexion
Extension",,,,,,"Hip:
Abduction
Spine:
Lateral Flexion
Ankle (eccentric):
Dorsal Flexion",
